cntyname,lat,lon,visits,alpha,vaccinated,unvacc,old_coverage_pct,new_coverage_pct
Alcona,44.6694,-83.1827,2,14,28,33,70.8,95.58
Alger,46.4468,-86.5373,2,12,24,38,59.57,85.11
Allegan,42.5906,-85.8908,35,14,490,547,70.86,96.96
Alpena,45.065,-83.4327,5,15,75,93,73.2,94.81
Antrim,45.0164,-85.1561,7,13,91,102,63.83,96.1
Arenac,44.0417,-83.9127,3,13,39,57,64.6,88.82
Baraga,46.7611,-88.4937,2,13,26,39,64.55,88.18
Barry,42.5994,-85.3089,25,12,300,343,62.27,95.27
Bay,43.6961,-83.9838,2,15,30,301,76.3,78.66
Benzie,44.6028,-86.0875,1,14,14,53,72.25,79.58
Berrien,41.9275,-86.4228,52,13,676,757,62.86,96.03
Branch,41.9133,-85.0625,33,11,363,412,52.53,94.35
Calhoun,42.245,-85.0011,53,13,689,768,62.57,96.15
Cass,41.9133,-85.9942,12,13,156,177,65.96,95.96
Charlevoix,45.3436,-85.1738,8,12,96,116,61.46,93.36
Cheboygan,45.57,-84.481,7,12,84,105,59.77,91.95
Chippewa,46.3939,-84.5819,14,11,154,182,56.14,93.25
Clare,43.9861,-84.8441,18,10,180,202,52.47,94.82
Clinton,42.9436,-84.5994,16,15,240,274,73.48,96.71
Crawford,44.6833,-84.605,3,14,42,54,67.86,92.86
Delta,45.8006,-86.9141,8,14,112,130,69.48,95.77
Detroit,42.3314,-83.0458,416,11,4576,5092,52.99,95.24
Dickinson,46.0042,-87.873,7,13,91,115,65.26,92.75
Eaton,42.5994,-84.8413,29,14,406,465,69.39,96.12
Emmet,45.5528,-84.9538,6,14,84,106,70.22,93.82
Genesee,43.0128,-83.6927,143,13,1859,2072,65.34,96.44
Gladwin,43.9861,-84.3619,11,11,121,146,55.89,92.45
Gogebic,46.4928,-89.8627,5,11,55,67,55.33,92.0
Grand Traverse,44.7436,-85.5644,25,14,350,393,68.83,96.59
Gratiot,43.2961,-84.5994,10,14,140,163,71.25,95.94
Hillsdale,41.9133,-84.5994,24,11,264,300,56.2,94.74
Houghton,47.0042,-88.6064,22,11,242,272,53.74,94.9
Huron,43.9275,-83.0605,10,13,130,149,63.39,95.33
Ingham,42.5994,-84.3619,80,14,1120,1249,68.59,96.76
Ionia,42.9436,-85.0625,24,13,312,356,65.2,95.7
Iosco,44.3019,-83.5189,7,13,91,109,65.83,94.36
Iron,46.21,-88.5214,5,10,50,60,50.41,91.74
Isabella,43.6294,-84.8441,21,13,273,306,65.58,96.29
Jackson,42.245,-84.4022,49,13,637,714,67.16,96.46
Kalamazoo,42.245,-85.5364,62,15,930,1037,72.94,97.21
Kalkaska,44.7297,-85.1611,7,12,84,102,62.22,93.33
Kent,43.0128,-85.5364,10,15,150,2852,75.5,76.79
Keweenaw,47.45,-88.09,2,7,14,22,33.33,75.76
Lake,43.9861,-85.82,5,11,55,62,55.07,94.93
Lapeer,43.0997,-83.2188,51,10,510,568,50.35,94.93
Leelanau,45.0653,-85.7703,5,13,65,82,62.9,92.31
Lenawee,41.9136,-84.0478,23,14,322,371,68.74,95.87
Livingston,42.5994,-83.9127,61,13,793,884,66.5,96.55
Luce,46.4736,-85.4892,3,10,30,34,50.0,94.12
Mackinac,46.0897,-84.7478,4,11,44,50,56.14,94.74
Macomb,42.67,-82.92,295,13,3835,4275,65.8,96.48
Manistee,44.2972,-86.0875,8,12,96,109,58.71,95.08
Marquette,46.5503,-87.6536,15,14,210,240,68.46,96.06
Mason,43.9861,-86.0875,6,14,84,98,69.94,95.71
Mecosta,43.6294,-85.3089,18,12,216,244,60.52,95.47
Menominee,45.5275,-87.5817,8,12,96,115,61.02,93.56
Midland,43.6294,-84.3619,1,15,15,292,75.25,76.53
Missaukee,44.3019,-85.1053,5,13,65,83,63.76,92.14
Monroe,41.9136,-83.4889,48,13,624,697,62.73,96.1
Montcalm,43.2961,-85.1053,25,13,325,364,63.85,96.13
Montmorency,45.0306,-84.1353,2,12,24,35,62.37,88.17
Muskegon,43.355,-86.1089,3,14,42,763,71.61,73.18
Newaygo,43.6294,-85.82,22,12,264,301,60.08,95.09
Oakland,42.6564,-83.3816,352,14,4928,5481,69.56,96.93
Oceana,43.6586,-86.2142,9,13,117,136,66.17,95.27
Ogemaw,44.3019,-84.1353,7,13,91,104,63.76,95.47
Ontonagon,46.7972,-89.17,0,15,0,10,77.27,77.27
Osceola,43.9861,-85.3089,12,12,144,169,57.96,93.78
Oscoda,44.6833,-84.1353,9,8,72,80,37.98,93.8
Otsego,45.0306,-84.605,10,12,120,135,59.82,95.54
Ottawa,42.9436,-86.0031,5,14,70,1300,72.06,73.56
Presque Isle,45.4306,-83.9403,4,12,48,56,62.16,94.59
Roscommon,44.3019,-84.605,5,13,65,81,65.24,93.13
Saginaw,43.355,-84.0478,3,14,42,766,72.22,73.74
Sanilac,43.4275,-82.9478,23,10,230,262,49.9,93.88
Schoolcraft,46.1469,-86.2514,1,15,15,24,74.19,90.32
Shiawassee,42.9436,-84.1353,17,14,238,275,70.37,96.01
St. Clair,42.9158,-82.6761,60,12,720,813,61.94,95.65
St. Joseph,41.9133,-85.5364,31,11,341,387,57.0,94.89
Tuscola,43.4964,-83.3703,21,12,252,287,59.46,95.06
Van Buren,42.245,-86.0031,22,14,308,350,69.3,96.32
Washtenaw,42.2722,-83.9872,75,14,1050,1329,71.72,94.06
Wayne,42.2814,-83.1883,432,13,5616,6241,66.14,96.61
Wexford,44.3019,-85.5644,12,13,156,182,62.55,94.65
